emp_ID,emp_Name,emp_Size
2183810,Modus Group,501-1000
10416,Boehringer Ingelheim,10000--1
1043373,Immobiliare.it ,201-500
2226886,Codup,1-50
851555,Markelytics Solutions,201-500
4212,NCR,10000--1
556626,Nisha Group,51-200
130664,Inria,1001-5000
722741,Mitra Integrasi Informatika,501-1000
0,,
2482936,HSBC Global Technology (HSBC GLT),-1-0
1395721,Auris Health,201-500
1867315,FastTrack Solutions (India),1-50
782762,Amaris,5001-10000
1425,Cisco Systems,10000--1
4138,Accenture,10000--1
318757,Harnham,51-200
978186,iAdvize,201-500
10220,Rentokil Initial,10000--1
264397,Beumer,1001-5000
1825926,Whyte Cleon,5001-10000
97,Best Buy,10000--1
428690,Schrödinger,201-500
3363,Samsung Electronics,10000--1
308505,Partners Group,1001-5000
790264,Derbysoft,51-200
11427,Tradeweb,501-1000
1437379,TrackTik,51-200
1115636,HEKATRON,501-1000
3494,Nokia,10000--1
3471,Danone,10000--1
2403986,TwinMOS Technologies,51-200
233193,HZ,51-200
967433,KM Ware,51-200
1188381,epunkt,51-200
877317,Keysight Technologies,10000--1
2328871,Qualifio,51-200
1644778,FinCompare,1-50
543409,MASHCO,1-50
6162,Dassault Systemes,10000--1
8378,British American Tobacco,10000--1
1481139,Gazprom Energy,201-500
39062,TAL International,51-200
648315,Nitor Infotech,201-500
264232,Applications Software Technology,501-1000
772682,bright prospect,1-50
3957,IKEA,10000--1
12190,Red Bull,10000--1
1322192,Practia Consulting,201-500
135097,Ciklum,1001-5000
449696,SailPoint Technologies,1001-5000
2435947,Genesis Tech,1001-5000
12567,SDL,1001-5000
804929,CitySprint (UK),501-1000
1310168,SPENDIT,1-50
6269,Sabre,5001-10000
40772,Facebook,10000--1
446,3M,10000--1
1052655,ENGIE,10000--1
8843,Citi,10000--1
1587357,pladis Global,10000--1
1091257,PYCO Group,201-500
1795038,Omise,51-200
2166929,e-Merge IT Recruitment,1-50
2943187,COMPREDICT,1-50
782866,Power Monitors,1-50
1390169,Coretex,51-200
3086890,Rosstone Consulting,-1-0
870806,INT,1-50
703060,BEKO,501-1000
1803341,Zoi,1-50
608019,Experis,5001-10000
12088,Macquarie Group,10000--1
26454,Vestas Wind Systems,10000--1
11296,Equinix,5001-10000
2385240,AMAC Human Resources Consultants,-1-0
23128,Fortinet,5001-10000
292,Goodyear,10000--1
340494,Infopulse,1001-5000
2871709,Acast,-1-0
37236,Linde Material Handling,1001-5000
10471,SAP,10000--1
555068,Automation Anywhere,1001-5000
1047575,Fenix International,501-1000
1634016,Aurora Cannabis,1001-5000
2209199,Airy Rooms,201-500
2140083,Gearset,1-50
1609127,PaymentGenes,1-50
2800,Goldman Sachs,10000--1
150702,ENAVATE,51-200
11282,Telenor,10000--1
7712,Saudi Aramco,10000--1
2871084,Yayasan MDPI.,-1-0
1285047,Energi People,1-50
1868506,LA International,51-200
1605984,Range Generation Next,1-50
3956,Schneider Electric,10000--1
215024,Citicapital Commercial Corp,1001-5000
1624324,Social You,1-50
1272580,Pure Resourcing Solutions,51-200
8347,IQVIA,10000--1
2389541,AGroup Recruitment Agency,1-50
9214,AstraZeneca,10000--1
1651,Microsoft,10000--1
1923000,ION Group,1001-5000
13528,NXP Semiconductors,1001-5000
2393520,itForte,1-50
1737,Oracle,10000--1
3057991,Careersome,-1-0
910168,Carnegie Robotics,51-200
1155,Autodesk,5001-10000
1334575,Joblift,51-200
307,Halliburton,10000--1
144297,PATH,1001-5000
1925776,Logistyx Technologies,51-200
2363367,Rainsoft Financials,51-200
2382466,SAT Microsystems,51-200
1492856,Conduent,10000--1
1343331,Clinic Dermatech,201-500
3979,UL,10000--1
473233,Quantium,501-1000
352419,BTS,501-1000
569438,PropertyGuru Group,1001-5000
544,Procter & Gamble,10000--1
483731,Thompson Brothers Construction,501-1000
12028,Sogeti,1001-5000
831853,Reliable Resourcing,1-50
518349,Canara HSBC Oriental Bank of Commerce Life Insurance Co,1001-5000
473086,The Stars Group,1001-5000
1085187,IT|IQ Tech Recruiters,1-50
1305148,AfinIT,1-50
1820664,Kloudless,1-50
2937662,Migomedia,-1-0
389854,Klarna,1001-5000
427636,Altran Engineering Solution,501-1000
554652,Safaltek Software,51-200
2950765,EITESAL,-1-0
2312124,GPX Global Systems,51-200
10166,Hays,5001-10000
663009,Sia Partners,1001-5000
7796,CME Group,1001-5000
227869,Catenon,201-500
39275,Damen Shipyards Group,5001-10000
692830,Lieferheld,51-200
19031,Metso,10000--1
2068593,Worldline Global,10000--1
2905267,Quantity Solutions,-1-0
5833,Shell,10000--1
701438,Nominet,201-500
1326734,Bolt,501-1000
658,Thermo Fisher Scientific,10000--1
10692,adidas,10000--1
6758,Covance,10000--1
379389,DoubleVerify,201-500
7438,Diageo,10000--1
1970817,Clearline Recruitment,1-50
7866,Manhattan Associates,1001-5000
1384320,FINTEC Recruit,1-50
1553005,Joint Peace Fund,1-50
2510478,Manpower Direct,501-1000
2956186,AURO Cloud Computing,-1-0
1847900,Evoke,201-500
2164189,BMI Group,10000--1
4264,ING,10000--1
2551663,Kaizen Solutions (France),51-200
1660256,Adtalem Global Education,5001-10000
982955,LINKIT,51-200
354908,CI Financial,1001-5000
302418,Huxley,201-500
1481029,Gourmet Ads,-1-0
8868,Red Hat,10000--1
3489,LVMH,10000--1
252488,Scott Sports,501-1000
767304,Netcentric,501-1000
1030908,Ellation,201-500
1572550,Hostinger International,201-500
848476,AppsFlyer,501-1000
636547,Jamf,1001-5000
981118,Ribose,1-50
430394,DataArt,1001-5000
1551,Wiley,5001-10000
12101,OneSpan,501-1000
987761,YoungCapital,1001-5000
560876,Sqlink Group,1001-5000
995824,SimilarWeb,201-500
377793,Blancco,51-200
6036,Amazon,10000--1
2210887,Kite.com,1-50
1065641,Unique,201-500
40197,Rakuten,10000--1
2328,O'Reilly Auto Parts,10000--1
408251,Spotify,1001-5000
2710704,MindShare,-1-0
2313932,WaW,1-50
1330527,XorLabs,1-50
114120,Daimler,10000--1
562953,Australian Army,5001-10000
10456,Hugo Boss,10000--1
13880,ManTech,5001-10000
531004,ZipRecruiter,1001-5000
1093161,HP Inc.,10000--1
233751,Endava,5001-10000
1646197,Freedom Mobile,-1-0
3073633,JobSinary,-1-0
640,Qualcomm,10000--1
7448,Altran Group,10000--1
110410,Trustwave,1001-5000
16698,TracFone,501-1000
364989,Park IP Translation,1001-5000
25124,Kofax,1001-5000
1171399,Potentia,-1-0
1653490,BAE Systems,10000--1
1065139,APK Group,-1-0
315,HARMAN,10000--1
5794,Ingram Micro,10000--1
2464239,Dreamshub,51-200
40123,Wing Hang Bank,1001-5000
2112008,e-bot7,1-50
3063182,DRISHTI LIFESAVING,-1-0
1288880,DSR,51-200
982213,Dentsu Aegis Network,5001-10000
2598294,Millennium Consulting,201-500
15347,Evonik,10000--1
227523,Citco,5001-10000
2340443,maptalent,1-50
442347,Sequel Business Solutions,51-200
5936,Pegasystems,1001-5000
1685404,Praekelt Foundation,51-200
240746,Brook Street,501-1000
477328,Prudential Assurance Singapore,501-1000
1145099,ONE Agency,51-200
64,ADP,10000--1
2395101,CPL & TAYLOR,1-50
189,Cypress Semiconductor,5001-10000
12532,Compugen (isreal),1-50
1142411,vind!,1-50
615648,Jobline Consultancy,-1-0
216907,McGill University Health Centre,10000--1
1414967,Depositphotos,201-500
448121,Trustpilot,501-1000
152685,Dealogic,501-1000
3094399,Zag (New zealand),201-500
89,Verizon,10000--1
742997,ACS,1-50
2962048,U4NETWORKS,-1-0
614387,AppDirect,501-1000
10410,TOMRA,1001-5000
3076,ABB,10000--1
1615414,Welbilt,5001-10000
904402,New Zealand Government,10000--1
403171,PAE,10000--1
1987040,Luxe Talent,1-50
9353,Limagrain,5001-10000
2888767,Deltion College,-1-0
112486,SoftServe,1001-5000
987395,Maandag,1001-5000
141899,Systematix,501-1000
1138814,Reeracoen Recruitment,51-200
1124395,Arbor Education Partners,51-200
326128,Path Solutions,501-1000
1390690,Brightskies Technologies,1-50
13258,Genmab,51-200
2977153,SmartConsulting.net,-1-0
35209,Tower Group (New York),1001-5000
567,Rockwell Automation,10000--1
9331,BlackRock,10000--1
2017486,Econet Group,201-500
2891793,Wassef Design Group,-1-0
6746,Renaissance Learning,501-1000
2175990,KI group,51-200
37240,Fircroft,501-1000
438451,GIESECKE AND DEVRIENT AMERICA,-1-0
1534814,iWant Technologies,1-50
560371,Accent Jobs,501-1000
1568964,Tata CLiQ,51-200
2056457,Bluefin Resources,51-200
3053222,Armstrong Appointments,-1-0
1986844,stelliant,1001-5000
2884153,Mena Energy,-1-0
451902,Zühlke,1001-5000
1158781,CareerValue,1-50
575813,Kambi,501-1000
1603125,DXC Technology,10000--1
942369,Qorvo,10000--1
1685923,Sisu Global Health,1-50
1276724,Addexpert,1-50
3510,Siemens,10000--1
394025,IEE (Luxembourg),1001-5000
628257,Mondelēz International,10000--1
2320,Aristocrat Technologies,5001-10000
1036355,Flex,10000--1
1188408,European Handball Federation,-1-0
843403,Looker,501-1000
11231,Unilog,5001-10000
672932,Ezoic,51-200
1166563,BioNTech,201-500
686449,TTTech Computertechnik,1001-5000
2739,Cargill,10000--1
1160486,DIGIT Game Studios,51-200
1263777,Loblaw Digital,51-200
1176471,Revolut,1001-5000
2971062,Libertex Group,501-1000
2388240,NeoMas Professional Services,1-50
1143169,unbiased.co.uk,1-50
1930341,Syneos Health ,10000--1
8450,PwC,10000--1
2863863,Engineers Without Borders Sweden,-1-0
717,Walt Disney Company,10000--1
1014029,Wade Macdonald,1-50
364,Johnson & Johnson,10000--1
2263441,White Rabbit Japan,1-50
421780,Greythorn,1-50
726972,Margo,201-500
3496,Philips,10000--1
858954,MHP - A Porsche Company,1001-5000
14616,MSCI,1001-5000
482605,MCAP,501-1000
1972488,DoiT International,1-50
518598,Acreaty Management Consultant P Limited,1001-5000
584487,Playtika,1001-5000
548064,SEDICO,501-1000
2695226,Thales,-1-0
868010,AGO Jobs & HR,501-1000
810464,Human Direct,1-50
5326,Advanced Energy,1001-5000
2956576,Starter Up Demo Team,-1-0
259388,eTeam,51-200
2063,Xilinx,1001-5000
2002409,InfoTrust (Australia),1-50
13758,Hanesbrands,10000--1
238741,GEP,1001-5000
995,Rogers Corporation,1001-5000
7834,Arm,5001-10000
3040860,The Ad Masters,-1-0
1090,Adobe,10000--1
1061540,Opentrends,51-200
1145520,University Hospitals Bristol,5001-10000
1759123,Incubit (Japan),1-50
1327,Dell Technologies,10000--1
3815,STMicroelectronics,10000--1
325524,Intracom Telecom,1001-5000
2784,EY,10000--1
231636,VOO,1001-5000
2345315,True Wealth Design,1-50
2871000,Ingenico ePayments India Private,-1-0
466295,Sopra Steria,10000--1
8034,Lenovo,10000--1
218,PerkinElmer,10000--1
2101263,Signify,10000--1
740889,GE Power,10000--1
2034197,Silicon Gears,51-200
376649,EUROCONTROL,-1-0
12830,VMware,10000--1
1842683,Setter,1-50
590784,Zeptolab,51-200
2394977,George Samuel Associates,-1-0
917565,Caden Concepts,1-50
2017225,Nutrien,10000--1
3049716,AdoGreen Africa,-1-0
10587,Getronics,10000--1
1723122,Gravity Consulting,1-50
3120,Saint-Gobain,10000--1
311490,Quanta,201-500
5847,BBC,10000--1
2857864,Kirby Group Engineering,-1-0
1337673,IHS Markit,10000--1
2582692,Wunderman Thompson Commerce,1001-5000
1703329,Mimi Hearing Technologies,1-50
673843,Toshiba Global Commerce Solutions,1001-5000
300930,CACEIS,1001-5000
297668,St John of God Health Care,1001-5000
1838,Robert Half,10000--1
1100639,Stradigi AI,51-200
222778,National University of Singapore,10000--1
12228,NTT,10000--1
808111,Accent Group (UK),201-500
5944,TTEC,10000--1
1585667,INSCALE,201-500
596295,PeopleCert,201-500
15803,Petrofac,10000--1
2901,Milliken,5001-10000
683658,Cequens,51-200
9052,ZEISS Group,10000--1
3026966,I CAN,-1-0
1803518,Withlocals,51-200
1356372,Pioneer Search,1-50
378716,Fareportal,1001-5000
2968526,REIN (US),1-50
1196397,Techsol Corporation,51-200
152102,IT Human Resources,51-200
562743,Sciente Consulting,201-500
3768,Continental,10000--1
619331,Crédit Mutuel,10000--1
1516449,b-cause,1-50
218537,NORC at the University of Chicago,1001-5000
769467,BBOXX,501-1000
599,Sherwin-Williams,10000--1
13666,J. Walter Thompson Worldwide,5001-10000
1287417,Otto Group Solution Provider,201-500
32499,Integrated Project Management Company,201-500
897081,Einkaufsbüro Deutscher Eisenhändler,1001-5000
11572,SES,1001-5000
13979,Swiss International Air Lines,5001-10000
2212274,Upfield,1001-5000
954578,FREE NOW,501-1000
5334,Parexel,10000--1
1262390,Forcepoint,1001-5000
9185,Informa,10000--1
266740,Innominds Software,501-1000
35498,Paysafe Group,1001-5000
11239,Westcon Group,1001-5000
2961,SC Johnson,10000--1
2901810,KNIME,-1-0
2763,Deloitte,10000--1
712744,Nalashaa Solutions,201-500
2270767,EXO Insights,1-50
1384448,CPS Group,1-50
1792,Plexus,10000--1
845643,Keolis,1001-5000
3480,Roche,10000--1
13894,Spin Master,1001-5000
1495,Verifone,5001-10000
1275894,Rappi,1001-5000
7922,Commonwealth Bank of Australia,10000--1
4146,LexisNexis Legal & Professional,10000--1
2424088,Jellysmack,51-200
950459,Collins McNicholas,51-200
28,Honeywell,10000--1
10215,Prudential plc,10000--1
6667,Novartis,10000--1
1459067,Dwarf Animation Studio,201-500
352972,Implement,201-500
4245,Bayer,10000--1
10368,Atlas Copco,5001-10000
33818,Amcor,10000--1
930617,HDI Versicherung,1001-5000
9079,Google,10000--1
10600,SGS,10000--1
10332,Air Liquide,10000--1
671548,Start People,501-1000
292758,Awi,51-200
1730361,Hyperconnect,51-200
1967636,Syneos Health Commercial Solutions,10000--1
10429,Audi,10000--1
2260088,Fluidly,1-50
1189889,Umdasch Group,-1-0
16833,Netcracker Technology,5001-10000
23009,GlobalLogic,10000--1
369979,ERNI,501-1000
2972546,myInvenio,-1-0
1984553,Crypto.com,51-200
10512,Schroders,1001-5000
1823594,Sterrk,1-50
1461385,W5 Resourcing Associates,-1-0
8418,Amdocs,10000--1
31253,University of Guelph,5001-10000
199800,Axis Communications,1001-5000
1168893,Bwin education,1-50
990934,Brownie's YachtDiver,1-50
2606603,Aderen,-1-0
972513,swipejobs,1-50
709546,foodpanda,1001-5000
691295,Leap29,1-50
11860,London Stock Exchange Group,1001-5000
37721,SAS UK,10000--1
1347643,New Zealand Qualifications Authority,201-500
410790,Twilio,1001-5000
784193,AboitizPower,201-500
2974031,ABF Industrielle Automation,-1-0
446486,Stone-Mart Marble & Travertine Group,51-200
1361978,SentinelOne ,201-500
3012,UPS,10000--1
1335104,@SLIC,201-500
639982,NIT Patna,5001-10000
1997925,Xekera Systems,1-50
12762,Insurance Australia Group,10000--1
4293,Bosch,10000--1
2445394,Station10,1-50
1496161,Starlink,51-200
6440,Teva Pharmaceuticals,10000--1
432770,Innovations for Poverty Action,51-200
114258,Pythian,201-500
1065338,Forum Jobs,201-500
799159,Farfetch,1001-5000
23433,Emirates,10000--1
3059350,Cloud Solutions,-1-0
2110669,Pretto,51-200
301291,Groupon,5001-10000
8367,ALSTOM,10000--1
3470,L'Oréal,10000--1
330002,The National Lottery Community Fund,501-1000
1088081,Spring Professional,51-200
940430,DKB,51-200
2003111,Clustree,1-50
596467,Fenetech,1-50
150428,EPFL,5001-10000
712227,9GAG,1-50
156447,LiveVox,201-500
548212,German University in Cairo,1001-5000
2555572,Bridgers,1-50
41953,Downer,10000--1
2565489,Talentvis,51-200
2777358,recap (Brazil),-1-0
393100,DAS,501-1000
25705,Sutherland,10000--1
912499,Les Mousquetaires,10000--1
344498,Exprivia,51-200
4252,Groupe Crédit Agricole,5001-10000
10343,AXA,10000--1
1118457,NC GROUP,51-200
15492,Enghouse Systems,1001-5000
703915,Esri China (Hong Kong),51-200
3275,Renault,10000--1
1858272,Ørsted,5001-10000
827975,Nubank Brasil,1001-5000
1850855,"Stubbe, Lisart & Partners",1-50
543402,Intersoft KK,201-500
1202671,HappyFresh,201-500
3944,The LEGO Group,1001-5000
800152,SoLocal Group,1001-5000
12045,Euler Hermes,5001-10000
657961,UniSuper,501-1000
2551053,Accrete,1-50
4206,Samsung Electronics America,1001-5000
10495,KPN,10000--1
1333156,Tiki.vn,201-500
41032,Sensata Technologies,10000--1
4024,ACI Worldwide,1001-5000
213234,Turner and Townsend,1001-5000
42397,Grifols,10000--1
1628,Electronic Arts,5001-10000
2339011,Pacific Career,1-50
1288048,Spontacts,1-50
2358173,Mana Resources,1-50
805608,Cardiff Metropolitan University,1001-5000
2524498,Kargo Technologies,51-200
2016874,Xpheno,201-500
559130,Jobinfo,51-200
890284,Rigetti Computing,51-200
2360606,The Switch Agency,1-50
436,Medtronic,10000--1
1551340,BowerGroupAsia,1-50
1280857,J-K Network Services,1-50
9828,Euromonitor,1001-5000
365,Johnson Controls,10000--1
2225499,Swvl,1-50
438753,Smartsheet,1001-5000
2550199,Novagen,1-50
574550,SysGen,1-50
1103914,Clixlogix Technologies,51-200
1436090,Afiniti,501-1000
635371,Omega AS,201-500
498757,Episerver,501-1000
2957577,AgriCircle,-1-0
3419,UBS,10000--1
2348834,Datafin Recruitment,1-50
836732,Unleashed Software,51-200
525,Pfizer,10000--1
3600,RB,10000--1
582526,Zurich Insurance Group,10000--1
3141,Credit Suisse,10000--1
965010,C3 Creative Code and Content,51-200
4075,Orange,10000--1
2855685,EcorNaturaSì,-1-0
38597,BMW Group UK,5001-10000
3088849,Axa Global Direct Seguros y Reaseguros,-1-0
10655,RealDolmen,1001-5000
1122555,CL Technical Services,1-50
2620377,SR2 Engenharia,-1-0
9281,Grundfos,10000--1
1570343,VNOM,201-500
1443097,Miinto,51-200
701807,BRED Banque Populaire,1001-5000
10349,Galeries Lafayette,10000--1
2884684,Kernkonzept,-1-0
354629,MakeMyTrip,1001-5000
606409,Triumph,10000--1
2015111,Omni:us,51-200
1611292,Apollo Technologies,51-200
1295396,Ideagen,501-1000
333303,Qualicom,51-200
2967236,Bharti AXA,1001-5000
3736,Capital One,10000--1
851465,Mister Spex GmbH,501-1000
35698,IDC (International Data Corporation),1001-5000
434302,IRIS Business Services Limited,51-200
